year,month,day,hour,flow_cfs
2021,5,6,6,576.320206418675
2021,5,6,12,606.975536547328
2021,5,6,18,694.854149582799
2021,5,7,0,818.748556004514
2021,5,7,6,827.83237658222
2021,5,7,12,712.855657612467
2021,5,7,18,663.86557735579
2021,5,8,0,604.144220924076
2021,5,8,6,548.233644879781
2021,5,8,12,500.004832314055
2021,5,8,18,467.52420344326
2021,5,9,0,444.330417787155
2021,5,9,6,421.971747279363
2021,5,9,12,410.085219186987
2021,5,9,18,387.302707009932
2021,5,10,0,388.950235267286
2021,5,10,6,384.604005860713
2021,5,10,12,367.621491316214
2021,5,10,18,357.631776878274
2021,5,11,0,375.335216615608
2021,5,11,6,377.057133326876
2021,5,11,12,365.967217640792
2021,5,11,18,377.057133326876
2021,5,12,0,464.501814813172
2021,5,12,6,462.22376832107
2021,5,12,12,449.245563163027
2021,5,12,18,462.22376832107
2021,5,13,0,524.111985527168
2021,5,13,6,512.966678962872
2021,5,13,12,492.771140421027
2021,5,13,18,520.035117452518
2021,5,14,0,680.342140919086
2021,5,14,6,657.754252042454
2021,5,14,12,610.046767712214
2021,5,14,18,673.995097771897
2021,5,15,0,836.065623789955
2021,5,15,6,742.283955027062
2021,5,15,12,657.910677324393
2021,5,15,18,716.168416690522
2021,5,16,0,963.208278503736
2021,5,16,6,841.695517166143
2021,5,16,12,750.229215544914
2021,5,16,18,861.222030995394
2021,5,17,0,1202.4981935873
2021,5,17,6,976.67810839678
2021,5,17,12,837.01313889604
2021,5,17,18,808.689473752533
2021,5,18,0,1000.74036476334
2021,5,18,6,934.321223503692
2021,5,18,12,753.961746814688
2021,5,18,18,654.419084816932
2021,5,19,0,593.855524735275
2021,5,19,6,544.859087480407
2021,5,19,12,497.307748936662
2021,5,19,18,470.560121005806
2021,5,20,0,452.690560512699
2021,5,20,6,429.766944363241
2021,5,20,12,399.92201767135
2021,5,20,18,388.978877884323
2021,5,21,0,413.97375959412
2021,5,21,6,397.997361389516
2021,5,21,12,380.91161607734
2021,5,21,18,375.886396867876
2021,5,22,0,436.435491785372
2021,5,22,6,444.789948316401
2021,5,22,12,420.417896353858
2021,5,22,18,438.696935325765
2021,5,23,0,595.754948164541
2021,5,23,6,566.547469233697
2021,5,23,12,517.024089055926
2021,5,23,18,503.157542606151
2021,5,24,0,558.78685010174
2021,5,24,6,642.122308544857
2021,5,24,12,633.994178056947
2021,5,24,18,650.250439032766
2021,5,25,0,740.47929857773
2021,5,25,6,696.583624581922
2021,5,25,12,608.646117365197
2021,5,25,18,601.72968421332
2021,5,26,0,653.601849144816
2021,5,26,6,628.806775121954
2021,5,26,12,598.575680164168
2021,5,26,18,590.514054842091
2021,5,27,0,670.605130574081
2021,5,27,6,662.986181959624
2021,5,27,12,1234.87502594006
2021,5,27,18,1113.41190863448
2021,5,28,0,1386.84863636381
2021,5,28,6,1386.86567035506
2021,5,28,12,1257.15880909883
2021,5,28,18,1037.65489004983
2021,5,29,0,849.792624641839
2021,5,29,6,744.993641839956
2021,5,29,12,654.333039922924
2021,5,29,18,614.915386915519
2021,5,30,0,689.723237968792
2021,5,30,6,661.690045455253
2021,5,30,12,613.857030121138
2021,5,30,18,652.721355080106
2021,5,31,0,749.739900770888
2021,5,31,6,736.275334909425
2021,5,31,12,702.198075369438
2021,5,31,18,817.854228959698
2021,6,1,0,1201.60482067236
2021,6,1,6,1004.04544772737
2021,6,1,12,878.539766761449
2021,6,1,18,1365.50180890922
2021,6,2,0,1582.22113261326
2021,6,2,6,1358.31776757407
2021,6,2,12,1158.56515469553
2021,6,2,18,1548.08274980868
2021,6,3,0,1567.84752319577
2021,6,3,6,1298.04121514684
2021,6,3,12,1018.46310726906
2021,6,3,18,1158.25216120795
2021,6,4,0,1242.63950953782
2021,6,4,6,974.002972247847
2021,6,4,12,780.176380770525
2021,6,4,18,762.644327270064
2021,6,5,0,763.713129920556
2021,6,5,6,720.622235973444
2021,6,5,12,764.599182412878
2021,6,5,18,746.608613414928
2021,6,6,0,684.626806446633
2021,6,6,6,618.213846214086
2021,6,6,12,573.631116919801
2021,6,6,18,544.900024707929
2021,6,7,0,537.883217894798
2021,6,7,6,497.194012269164
2021,6,7,12,464.509943733542
2021,6,7,18,458.567385817974
2021,6,8,0,453.574098443514
2021,6,8,6,431.54099233195
2021,6,8,12,407.566492757953
2021,6,8,18,390.584555559705
2021,6,9,0,391.041820277711
2021,6,9,6,391.499279005557
2021,6,9,12,379.483955864722
2021,6,9,18,385.49161743514
2021,6,10,0,424.008475081542
2021,6,10,6,397.733021151851
2021,6,10,12,380.913465531002
2021,6,10,18,359.146981786373
2021,6,11,0,372.404588026383
2021,6,11,6,363.758721158098
2021,6,11,12,347.725278903196
2021,6,11,18,347.725278903196
2021,6,12,0,389.176853973058
2021,6,12,6,422.111129132949
2021,6,12,12,415.99357653682
2021,6,12,18,458.816444709728
2021,6,13,0,600.980845395275
2021,6,13,6,718.416455947299
2021,6,13,12,1040.64736633543
2021,6,13,18,1225.53395426304
2021,6,14,0,1349.82360121425
2021,6,14,6,978.177990121648
2021,6,14,12,768.157421654353
2021,6,14,18,803.640348747001
2021,6,15,0,782.224878077082
2021,6,15,6,708.927785764401
2021,6,15,12,636.344716534666
2021,6,15,18,636.344716534666
2021,6,16,0,678.540684060978
2021,6,16,6,640.904239673454
2021,6,16,12,586.827944451006
2021,6,16,18,572.808164208149
2021,6,17,0,648.378619381213
2021,6,17,6,593.855110870845
2021,6,17,12,528.870965741881
2021,6,17,18,535.869258294231
2021,6,18,0,674.430710769062
2021,6,18,6,613.558759538607
2021,6,18,12,547.064706780729
2021,6,18,18,590.386589638135
2021,6,19,0,719.549177286351
