year,month,day,hour,flow_cfs
2020,12,23,0,764.721824210571
2020,12,23,6,738.106626716983
2020,12,23,12,696.327006336776
2020,12,23,18,681.405713343845
2020,12,24,0,651.489477857828
2020,12,24,6,646.441110159929
2020,12,24,12,618.594416183809
2020,12,24,18,608.649168335194
2020,12,25,0,593.18174964245
2020,12,25,6,586.593677202881
2020,12,25,12,581.580056030207
2020,12,25,18,599.629092251834
2020,12,26,0,623.203523633031
2020,12,26,6,646.73998730503
2020,12,26,12,660.75602418161
2020,12,26,18,680.778934005295
2020,12,27,0,632.242949673524
2020,12,27,6,590.257428917701
2020,12,27,12,586.309218690827
2020,12,27,18,554.723536875833
2020,12,28,0,561.18467675054
2020,12,28,6,535.916455755318
2020,12,28,12,526.984514826063
2020,12,28,18,526.984514826063
2020,12,29,0,507.035254940213
2020,12,29,6,499.95930965927
2020,12,29,12,495.975570140073
2020,12,29,18,480.040612063283
2020,12,30,0,477.026285640178
2020,12,30,6,496.065277104085
2020,12,30,12,508.115445778678
2020,12,30,18,533.219963850747
2020,12,31,0,552.153764227795
2020,12,31,6,612.543647858641
2020,12,31,12,553.969782018025
2020,12,31,18,527.16479256554
2021,1,1,0,524.498343340197
2021,1,1,6,544.051953814827
2021,1,1,12,579.693122272831
2021,1,1,18,661.458155794135
2021,1,2,0,1249.15441813756
2021,1,2,6,1064.65463495132
2021,1,2,12,1137.00980431694
2021,1,2,18,1385.08467071336
2021,1,3,0,1497.17760925049
2021,1,3,6,1187.42724194347
2021,1,3,12,968.940629425873
2021,1,3,18,911.944121812586
2021,1,4,0,846.37447851433
2021,1,4,6,829.627307808039
2021,1,4,12,1024.356455851
2021,1,4,18,1247.48360465023
2021,1,5,0,1110.56584563661
2021,1,5,6,959.257624332012
2021,1,5,12,872.411255050925
2021,1,5,18,867.476802250863
2021,1,6,0,1043.23869398611
2021,1,6,6,1410.35343655121
2021,1,6,12,1190.29829042266
2021,1,6,18,1010.25317086293
2021,1,7,0,934.905992475787
2021,1,7,6,853.785259157879
2021,1,7,12,792.943085316021
2021,1,7,18,781.971545770768
2021,1,8,0,743.709617679907
2021,1,8,6,705.582291363433
2021,1,8,12,695.644512611835
2021,1,8,18,665.831176357042
2021,1,9,0,626.166833086226
2021,1,9,6,611.387736450901
2021,1,9,12,611.387736450901
2021,1,9,18,597.515081166764
2021,1,10,0,565.26289179339
2021,1,10,6,554.645793055887
2021,1,10,12,537.595199055978
2021,1,10,18,541.607103526545
2021,1,11,0,543.019569214572
2021,1,11,6,544.426740711405
