year,month,day,hour,flow_cfs
2003,10,16,0,531.592430305114
2003,10,16,6,804.861875462455
2003,10,16,12,3275.19551053986
2003,10,16,18,9326.17728710464
2003,10,17,0,17543.1230745497
2003,10,17,6,20348.0447207516
2003,10,17,12,15077.165666581
2003,10,17,18,7734.70856553871
2003,10,18,0,4346.52814194843
2003,10,18,6,3074.6536573769
2003,10,18,12,2385.93123812448
2003,10,18,18,1918.58388220319
2003,10,19,0,1635.35949358544
2003,10,19,6,1622.36965098166
2003,10,19,12,5728.21284461986
2003,10,19,18,4118.32296018421
2003,10,20,0,2579.44408945198
2003,10,20,6,2334.33472320148
2003,10,20,12,13168.042028316
2003,10,20,18,10390.7822550712
2003,10,21,0,11662.2109232399
2003,10,21,6,6219.97160404921
2003,10,21,12,5747.10826572968
2003,10,21,18,4013.27602522473
2003,10,22,0,3167.74501862352
2003,10,22,6,2647.93194034667
2003,10,22,12,2287.4153850882
2003,10,22,18,2063.64648872088
2003,10,23,0,3273.88131889125
2003,10,23,6,2355.84559822866
2003,10,23,12,2143.94414230333
2003,10,23,18,1932.04268637801
2003,10,24,0,1697.01706924993
2003,10,24,6,1536.43481394845
2003,10,24,12,1399.03007448964
2003,10,24,18,1286.60801493244
2003,10,25,0,1180.77785565684
2003,10,25,6,1093.44519023652
2003,10,25,12,1015.78928898261
2003,10,25,18,949.406018555879
2003,10,26,0,897.826268327625
2003,10,26,6,841.417595817989
2003,10,26,12,800.220591868444
2003,10,26,18,765.265558214284
2003,10,27,0,720.829775703021
2003,10,27,6,684.302209464539
2003,10,27,12,658.409693430746
2003,10,27,18,633.750154350943
2003,10,28,0,636.540448345355
2003,10,28,6,788.060482147562
2003,10,28,12,3160.31080724705
2003,10,28,18,5016.15289831128
2003,10,29,0,2374.98184093449
2003,10,29,6,1621.2351430757
2003,10,29,12,1325.38931404729
2003,10,29,18,1152.6153498947
2003,10,30,0,1049.07900634313
2003,10,30,6,971.993366661008
2003,10,30,12,898.845906669937
2003,10,30,18,835.616746338673
2003,10,31,0,782.038652886079
2003,10,31,6,741.991366772541
2003,10,31,12,702.219635220244
2003,10,31,18,669.905103334003
2003,11,1,0,650.704577804796
2003,11,1,6,625.33241237017
2003,11,1,12,607.96206758211
2003,11,1,18,583.147289313452
2003,11,2,0,565.808067641559
2003,11,2,6,548.466897013158
2003,11,2,12,532.335517689242
2003,11,2,18,514.963263032717
2003,11,3,0,500.91378660316
2003,11,3,6,480.476107155077
2003,11,3,12,464.209988944098
2003,11,3,18,447.943870733118
2003,11,4,0,441.049066333957
2003,11,4,6,429.238009395659
2003,11,4,12,408.148280610323
2003,11,4,18,398.2237023584
2003,11,5,0,394.139138987499
2003,11,5,6,381.213199701379
2003,11,5,12,371.181273393448
2003,11,5,18,362.403337874008
2003,11,6,0,362.051412869957
2003,11,6,6,356.69342908643
2003,11,6,12,342.926314279585
2003,11,6,18,342.926314279585
2003,11,7,0,338.254325254596
2003,11,7,6,337.337492314736
2003,11,7,12,328.6239777531
2003,11,7,18,314.931312013388
2003,11,8,0,315.029314755214
2003,11,8,6,311.390650861918
2003,11,8,12,306.408400448127
2003,11,8,18,302.671712637784
2003,11,9,0,298.782700522468
2003,11,9,6,293.649554127075
2003,11,9,12,284.939609725001
2003,11,9,18,281.206776409826
2003,11,10,0,296.120337778233
2003,11,10,6,307.232403517699
2003,11,10,12,338.920050517283
2003,11,10,18,694.372786425653
2003,11,11,0,1731.91007041819
2003,11,11,6,1946.53479913157
2003,11,11,12,1647.06790695748
2003,11,11,18,1260.25650456595
2003,11,12,0,984.49684131331
