year,month,day,flow_cfs,Source
2010,6,23,3830,USGS_12210700
2010,6,24,4350,USGS_12210700
2010,6,25,4230,USGS_12210700
2010,6,26,4190,USGS_12210700
2010,6,27,3930,USGS_12210700
2010,6,28,4300,USGS_12210700
2010,6,29,4210,USGS_12210700
2010,6,30,3490,USGS_12210700
2010,7,1,3040,USGS_12210700
2010,7,2,2770,USGS_12210700
2010,7,3,2550,USGS_12210700
2010,7,4,2460,USGS_12210700
2010,7,5,2540,USGS_12210700
2010,7,6,2720,USGS_12210700
2010,7,7,3160,USGS_12210700
2010,7,8,3810,USGS_12210700
2010,7,9,4320,USGS_12210700
2010,7,10,4410,USGS_12210700
2010,7,11,4260,USGS_12210700
2010,7,12,3840,USGS_12210700
2010,7,13,2610,USGS_12210700
2010,7,14,2130,USGS_12210700
2010,7,15,2300,USGS_12210700
2010,7,16,2450,USGS_12210700
2010,7,17,2310,USGS_12210700
2010,7,18,2240,USGS_12210700
2010,7,19,2140,USGS_12210700
2010,7,20,2130,USGS_12210700
2010,7,21,2250,USGS_12210700
2010,7,22,2360,USGS_12210700
2010,7,23,2090,USGS_12210700
2010,7,24,2110,USGS_12210700
2010,7,25,2160,USGS_12210700
2010,7,26,2080,USGS_12210700
2010,7,27,2120,USGS_12210700
2010,7,28,2220,USGS_12210700
2010,7,29,2140,USGS_12210700
2010,7,30,1920,USGS_12210700
2010,7,31,1820,USGS_12210700
2010,8,1,1740,USGS_12210700
2010,8,2,1710,USGS_12210700
2010,8,3,1770,USGS_12210700
2010,8,4,2090,USGS_12210700
2010,8,5,2260,USGS_12210700
2010,8,6,2130,USGS_12210700
2010,8,7,1930,USGS_12210700
2010,8,8,1920,USGS_12210700
2010,8,9,1840,USGS_12210700
2010,8,10,1640,USGS_12210700
2010,8,11,1480,USGS_12210700
2010,8,12,1480,USGS_12210700
2010,8,13,1500,USGS_12210700
2010,8,14,1550,USGS_12210700
2010,8,15,1620,USGS_12210700
2010,8,16,1710,USGS_12210700
2010,8,17,1720,USGS_12210700
2010,8,18,1610,USGS_12210700
2010,8,19,1520,USGS_12210700
2010,8,20,1320,USGS_12210700
2010,8,21,1160,USGS_12210700
2010,8,22,1060,USGS_12210700
2010,8,23,1000,USGS_12210700
2010,8,24,1010,USGS_12210700
2010,8,25,1200,USGS_12210700
2010,8,26,1290,USGS_12210700
2010,8,27,1210,USGS_12210700
2010,8,28,1040,USGS_12210700
2010,8,29,902,USGS_12210700
2010,8,30,856,USGS_12210700
2010,8,31,947,USGS_12210700
2010,9,1,2020,USGS_12210700
2010,9,2,1190,USGS_12210700
2010,9,3,1020,USGS_12210700
2010,9,4,1020,USGS_12210700
2010,9,5,876,USGS_12210700
2010,9,6,832,USGS_12210700
2010,9,7,1130,USGS_12210700
2010,9,8,1070,USGS_12210700
2010,9,9,1070,USGS_12210700
2010,9,10,883,USGS_12210700
2010,9,11,848,USGS_12210700
2010,9,12,1350,USGS_12210700
